c,trun,ELp,value,scenario
uae,2030,CC,0.8759730546350408,H
qat,2016,GT,0.0770041077608222,H
qat,2019,GT,0.8031597210127097,H
qat,2020,GT,0.7799604025716758,H
qat,2020,GTtoCC,0.08750000000000001,H
qat,2021,Steam,2.9741928898389913,H
qat,2021,PV,8.00527005106361,H
qat,2022,CC,0.37928791505815695,H
qat,2024,CC,0.8944442028640968,H
qat,2025,CC,0.21791308509842988,H
qat,2026,CC,0.21846993092855085,H
qat,2027,CC,0.36173595428831,H
qat,2028,CC,0.7500548212354907,H
qat,2029,CC,0.29313910796006487,H
qat,2030,CC,0.2937257923421695,H
kuw,2019,GT,1.538829653846728,H
kuw,2020,GT,0.7117634127223551,H
kuw,2021,PV,10.071881353953003,H
kuw,2022,CC,9.467024331771382,H
kuw,2023,CC,0.5697206527224193,H
kuw,2023,PV,0.024542757131049697,H
kuw,2024,CC,0.5697206529831832,H
kuw,2024,PV,1.4920830913271885,H
kuw,2025,CC,0.5358230032923333,H
kuw,2025,Nuclear,0.03488304635462901,H
kuw,2025,PV,0.4978302526500915,H
kuw,2026,Nuclear,1.0820294071186907,H
kuw,2026,PV,0.10354114326483277,H
kuw,2027,Nuclear,1.0419267591830816,H
kuw,2027,PV,0.10685815288904088,H
kuw,2028,Nuclear,1.2118020197403299,H
kuw,2028,PV,0.10490380606376526,H
kuw,2029,Nuclear,2.0250166105276444,H
kuw,2029,PV,0.10467889091035332,H
kuw,2030,Nuclear,1.3416683229632873,H
bah,2022,CC,0.4328590661946435,H
bah,2023,CC,0.12262367817402907,H
bah,2024,CC,0.04101948971350789,H
bah,2025,CC,0.12526398484486864,H
bah,2026,CC,0.038379187047572566,H
bah,2027,CC,0.08925990332958163,H
bah,2028,CC,0.10413657030169357,H
bah,2029,CC,0.08925991047835669,H
bah,2030,CC,0.10413696557804493,H
omn,2016,CC,0.121,H
omn,2019,CC,3.269,H
omn,2021,GT,1.0144397657862492,H
omn,2021,CC,0.5,H
omn,2021,PV,5.285492930756584,H
omn,2022,CC,1.8551666035368333,H
omn,2022,PV,0.045616952423563895,H
omn,2023,CoalSteam,1.4877778186697483,H
omn,2024,PV,0.09659213717782666,H
omn,2025,Nuclear,0.8161318219876148,H
omn,2025,PV,0.045652735492664576,H
omn,2026,Nuclear,0.4251244020947039,H
omn,2027,Nuclear,0.6607043139391559,H
omn,2028,Nuclear,0.5408608527884039,H
omn,2029,Nuclear,0.9741172197104373,H
omn,2030,Nuclear,0.3956475374335217,H
